id,name,size,category,price,stock,lowStockThreshold,imagePath,description
1,Cappuccino Cremoso - P,P,BEVERAGE,6.50,18,5,images/products/cappuccino.jpg,"Cafe espresso com leite vaporizado e espuma aveludada."
2,Cappuccino Cremoso - M,M,BEVERAGE,8.50,22,5,images/products/cappuccino.jpg,"Versao media do cappuccino da casa com canela."
3,Cappuccino Cremoso - G,G,BEVERAGE,10.50,16,5,images/products/cappuccino.jpg,"Versao grande para quem quer um cafe mais encorpado."
4,Espresso Duplo,P,BEVERAGE,5.00,28,6,images/products/espresso.jpg,"Dose dupla de espresso intenso e aromatico."
5,Latte Baunilha,M,BEVERAGE,9.50,15,4,images/products/latte.jpg,"Cafe com leite cremoso e toque suave de baunilha."
6,Mocha Gelado,G,BEVERAGE,12.00,11,4,images/products/mocha.jpg,"Bebida gelada de cafe com chocolate e chantilly."
7,Croissant de Presunto,M,FOOD,11.00,12,3,images/products/croissant.jpg,"Croissant amanteigado recheado com presunto e queijo."
8,Pao de Queijo Recheado,P,FOOD,7.50,24,6,images/products/pao-de-queijo.jpg,"Pao de queijo assado com recheio cremoso de catupiry."
9,Sanduiche Natural,G,FOOD,13.50,10,3,images/products/sanduiche.jpg,"Sanduiche fresco com frango, folhas e molho leve."
10,Torta Integral de Frango,M,FOOD,12.50,9,3,images/products/torta-frango.jpg,"Fatia de torta salgada com massa integral e recheio de frango."
11,Brownie com Nozes,M,DESSERTS,9.00,14,4,images/products/brownie.jpg,"Brownie de chocolate intenso com pedacos de noz."
12,Cheesecake de Frutas Vermelhas,G,DESSERTS,14.00,8,2,images/products/cheesecake.jpg,"Cheesecake cremoso coberto com calda de frutas vermelhas."
13,Cookie Triplo Chocolate,P,DESSERTS,6.00,20,5,images/products/cookie.jpg,"Cookie macio com gotas de chocolate ao leite, branco e meio amargo."
14,Bolo de Cenoura com Calda,G,DESSERTS,8.50,13,4,images/products/bolo-cenoura.jpg,"Fatia generosa de bolo de cenoura com calda de chocolate."
